x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,label
0.116623506,0.374132931,-1.74E-07,0.188067913,0.31450665,-0.022899132,0.224352196,0.177675068,-0.023348613,0.217652723,0.075466275,-0.0248392,0.225428745,0,-0.022177821,0.153932542,0.096478611,0.002792719,0.170524582,0.030717582,-0.038144186,0.18273814,0.102991223,-0.059402794,0.185933277,0.177637637,-0.064081647,0.101597741,0.111968994,0.000328305,0.118406013,0.036602646,-0.04604879,0.142270908,0.129568398,-0.060665853,0.154170856,0.20593226,-0.056594424,0.051484413,0.142184377,-0.009555077,0.070291504,0.087580293,-0.06209626,0.104056582,0.183532119,-0.060675379,0.11823982,0.248923361,-0.043057866,0,0.187238574,-0.020389639,0.030417725,0.135973483,-0.057681657,0.06343326,0.203355074,-0.053330157,0.078237951,0.253970861,-0.039000355,A
0.13180358,0.386716187,-2.78E-07,0.20124834,0.308750391,-0.027709981,0.229954951,0.181230903,-0.034732301,0.225349836,0.081788033,-0.042591456,0.231728606,0,-0.04579439,0.159170769,0.102677375,0.000961415,0.17588643,0.031467766,-0.039531611,0.188163675,0.104414493,-0.059286073,0.191206805,0.181118429,-0.062417969,0.109024309,0.11998871,0.000929944,0.123358481,0.037844837,-0.044680789,0.145073824,0.133733064,-0.055561319,0.154542275,0.214265466,-0.048092831,0.055817865,0.152334958,-0.006957189,0.075709529,0.088597775,-0.05827713,0.108769976,0.186885417,-0.052085668,0.122021727,0.257824242,-0.030508684,0,0.20130074,-0.016184503,0.02760987,0.139715195,-0.052225653,0.064871855,0.204231858,-0.043847837,0.08151596,0.256009698,-0.025784697,A
0.129845962,0.388611794,-3.43E-07,0.199733853,0.305308402,-0.027101094,0.228475973,0.178667784,-0.034853876,0.226273254,0.080221117,-0.043690465,0.233140066,0,-0.047695,0.156029776,0.095337301,-0.000187352,0.174513519,0.026633352,-0.041545879,0.186065182,0.104087263,-0.062199589,0.187531665,0.181850076,-0.066213749,0.106076285,0.112511218,-0.000783633,0.122624606,0.036200374,-0.045657814,0.143607795,0.133926272,-0.055120345,0.15118818,0.212176502,-0.047366604,0.053825811,0.145948708,-0.009230002,0.074023038,0.085708022,-0.059186071,0.107632786,0.184037209,-0.050899252,0.120335281,0.25350064,-0.028673943,0,0.196567953,-0.01923742,0.027076386,0.137079895,-0.054103348,0.064202994,0.202211082,-0.044185258,0.079897329,0.253437936,-0.025275251,A
0.125063471,0.390716463,-3.73E-07,0.194828115,0.310948879,-0.026453102,0.227489807,0.18125239,-0.033796638,0.226973124,0.0808191,-0.042044144,0.233596064,0,-0.045271732,0.159019835,0.095059693,-0.00050879,0.173924707,0.024800569,-0.041270137,0.185643263,0.104491234,-0.061115619,0.188356422,0.181697637,-0.06455835,0.108006947,0.112433463,-0.001149573,0.122388057,0.032470673,-0.045874238,0.144005693,0.131768227,-0.05482975,0.153164171,0.209604651,-0.046451367,0.054783575,0.145510942,-0.009385929,0.072344519,0.082071334,-0.058818344,0.106774293,0.181893796,-0.049912047,0.120920904,0.25055936,-0.027315713,0,0.195100456,-0.019091833,0.025805429,0.134652853,-0.053630814,0.062869258,0.201492935,-0.043561108,0.079340883,0.252045244,-0.024577133,A
0.126155756,0.39411509,-3.38E-07,0.19698932,0.311302125,-0.02639742,0.228810824,0.183360994,-0.033924386,0.226993598,0.08216697,-0.042754114,0.232441582,0,-0.046968728,0.161977552,0.096776634,0.001454973,0.177825399,0.026993454,-0.040500756,0.188509934,0.103310645,-0.062497761,0.190066971,0.181188703,-0.067398943,0.110352568,0.113847226,0.000280448,0.124118201,0.03385514,-0.045451652,0.145465247,0.131272048,-0.056425832,0.154905953,0.210526109,-0.049493246,0.056363665,0.14701876,-0.008729802,0.073686115,0.083080053,-0.059601832,0.107991122,0.181729317,-0.052413508,0.122175999,0.251780748,-0.030681044,0,0.197544575,-0.019159213,0.026218258,0.136794686,-0.055078693,0.064412646,0.203046381,-0.045941807,0.082191803,0.254576743,-0.027396688,A
0.124686509,0.395061821,-3.39E-07,0.195645049,0.311803967,-0.026142307,0.227350816,0.184191674,-0.033598099,0.225633338,0.082596838,-0.042617191,0.231418028,0,-0.047158159,0.161212251,0.09839344,0.002677522,0.176659197,0.027534723,-0.039577421,0.186907396,0.102971256,-0.062350925,0.188583747,0.180423766,-0.0678332,0.10993211,0.115540057,0.001366626,0.123258054,0.034699231,-0.044672515,0.144198447,0.131663769,-0.056315176,0.153784841,0.21121487,-0.049807869,0.056241862,0.148706973,-0.00783397,0.072216682,0.083191127,-0.05871566,0.106263861,0.181576639,-0.051748335,0.12078388,0.252148002,-0.030094523,0,0.199223846,-0.018488174,0.024934456,0.137567878,-0.054481354,0.062964343,0.203010947,-0.04556362,0.081004888,0.254691452,-0.027120091,A
0.129772492,0.393213332,-3.32E-07,0.200120352,0.309103966,-0.025064925,0.230383299,0.180739701,-0.031911384,0.227887742,0.081036091,-0.040070839,0.233701847,0,-0.043451607,0.161271013,0.095116585,-0.000763938,0.18007157,0.025412351,-0.04068131,0.192861371,0.102593541,-0.059779074,0.194292538,0.180894792,-0.062924892,0.109861143,0.112127721,-0.002475868,0.125542827,0.032223225,-0.046727683,0.148679428,0.130599141,-0.056115344,0.157013081,0.210272729,-0.048635766,0.056007184,0.146012276,-0.011455325,0.074840166,0.080618292,-0.061034147,0.111098878,0.179798543,-0.052958939,0.124338187,0.251146853,-0.03125355,0,0.19824934,-0.021636827,0.02718886,0.135163724,-0.05703241,0.066564746,0.201105416,-0.047278166,0.083486773,0.254435897,-0.028615301,A
0.128015459,0.392359734,-3.54E-07,0.198577672,0.307093322,-0.024438638,0.229657233,0.178981304,-0.031111486,0.226541013,0.080149502,-0.039193824,0.232194126,0,-0.042443968,0.158975184,0.095826328,-0.000132043,0.175954252,0.026116699,-0.040164102,0.189385101,0.104522109,-0.059415903,0.19202131,0.182418406,-0.06256599,0.108147711,0.11356917,-0.001971936,0.123068854,0.032606959,-0.046212606,0.146010011,0.130877078,-0.055388946,0.154618651,0.209951997,-0.047584388,0.055073202,0.147311658,-0.011058926,0.072827138,0.081210047,-0.060118839,0.10865128,0.179982364,-0.051524371,0.122332484,0.250652432,-0.029390592,0,0.198684096,-0.021368701,0.025922619,0.134105116,-0.055727333,0.063831657,0.200351298,-0.04530061,0.080180198,0.253988326,-0.026211107,A
0.128108367,0.392287582,-3.44E-07,0.198600844,0.307888597,-0.025282135,0.229560897,0.179553658,-0.032236058,0.226673797,0.080376267,-0.040391441,0.232437387,0,-0.043647319,0.15925464,0.09596628,-0.000424531,0.176846609,0.026538938,-0.040688004,0.18987523,0.104730397,-0.060134586,0.192096412,0.182782978,-0.063386895,0.108332038,0.113467962,-0.001915221,0.123483881,0.031944096,-0.046511225,0.146371096,0.130229831,-0.055924304,0.154876575,0.209620982,-0.048142262,0.055152059,0.146983385,-0.01073969,0.073214471,0.080912143,-0.0601178,0.108920917,0.179798871,-0.051641054,0.122411817,0.250530213,-0.029487291,0,0.198079616,-0.020859286,0.026613824,0.134182572,-0.055488657,0.064270958,0.200793058,-0.045206558,0.080268115,0.254361063,-0.026167596,A
0.126956262,0.391388834,-3.59E-07,0.19608023,0.308845341,-0.025735542,0.228657238,0.181546211,-0.033327084,0.228333138,0.081509709,-0.042135619,0.232225649,0,-0.046150204,0.159854658,0.093409151,-0.001242841,0.174615078,0.024058402,-0.042164072,0.18692442,0.103455871,-0.062609345,0.189533375,0.181275725,-0.066508889,0.108853824,0.110484242,-0.002492392,0.12189088,0.031185746,-0.046688106,0.143953256,0.128825456,-0.056145925,0.153855942,0.206856668,-0.048718739,0.055385031,0.144329131,-0.011131275,0.071160682,0.079539835,-0.060029402,0.106440268,0.178177416,-0.051540241,0.121925823,0.248494208,-0.02961983,0,0.195970416,-0.021193404,0.024713449,0.134188741,-0.055893131,0.063291892,0.199815392,-0.046037223,0.081890352,0.252401173,-0.027211651,A
